"ID","Subdomain"
"gastroenterology-clinic.bizaxl.online","gastroenterology-clinic"
"diabetology-clinic.bizaxl.online","diabetology-clinic"
"neurology-clinic.bizaxl.online","neurology-clinic"
"arun-medicalstore.bizaxl.in","arun-medicalstore"
"test-services.bizaxl.online","test-services"
"4balajicret2-restore.bizaxl.online","4balajicret2-restore"
"orthopedic-clinic.bizaxl.online","orthopedic-clinic"
"home-loan.bizaxl.online","home-loan"
"engineering-college.bizaxl.online","engineering-college"
"nursing-college.bizaxl.online","nursing-college"
"law-college.bizaxl.online","law-college"
"commerce-college.bizaxl.online","commerce-college"
"cbse-school.bizaxl.online","cbse-school"
"polytechnic-collage.bizaxl.online","polytechnic-collage"
"siva-speech-therapy-1.bizaxl.online","siva-speech-therapy-1"
"hair-clinic.bizaxl.online","hair-clinic"
"dev-team.bizaxl.online","dev-team"
"retail.bizaxl.online","retail"
"homenursing-patientcare.bizaxl.online","homenursing-patientcare"
"skin-dermatology-clinic.bizaxl.online","skin-dermatology-clinic"
"ayurvedic-retail.bizaxl.online","ayurvedic-retail"
"primary-health-centre.bizaxl.online","primary-health-centre"
"cardiology-clinic.bizaxl.online","cardiology-clinic"
"ent-clinic.bizaxl.online","ent-clinic"
"orthodonic-clinic.bizaxl.online","orthodonic-clinic"
"multispeciality-clinic.bizaxl.online","multispeciality-clinic"
"artificial-jwellery.bizaxl.online","artificial-jwellery"
"piggery-farming.bizaxl.online","piggery-farming"
"sports-goods.bizaxl.online","sports-goods"
"stationery-shop.bizaxl.online","stationery-shop"
"skincare-retail.bizaxl.online","skincare-retail"
"computer-training.bizaxl.online","computer-training"
"optical.bizaxl.online","optical"
"watchshop-retail.bizaxl.online","watchshop-retail"
"gp-clinic.bizaxl.online","gp-clinic"
"occupational-therapy.bizaxl.online","occupational-therapy"
"fine-arts-academy.bizaxl.online","fine-arts-academy"
"chilli-farming.bizaxl.online","chilli-farming"
"siddha-clinic.bizaxl.online","siddha-clinic"
"babycareretail.bizaxl.online","babycareretail"
"retailbicycleshop.bizaxl.online","retailbicycleshop"
"speech-therapy.bizaxl.online","speech-therapy"
"preprimaryschool.bizaxl.online","preprimaryschool"
"co-working.bizaxl.online","co-working"
"handbag-accessories.bizaxl.online","handbag-accessories"
"street-vendor.bizaxl.online","street-vendor"
"testsite.bizaxl.asia","testsite"
"spoken-english-tmpl.bizaxl.online","spoken-english-tmpl"
"physiotherapy.bizaxl.online","physiotherapy"
"cosmetics-retail.bizaxl.online","cosmetics-retail"
"crmind.bizaxl.in","crmind"
"support.bizaxl.in","support"
"helpdesk.bizaxl.in","helpdesk"
"vegetables-fruits.bizaxl.online","vegetables-fruits"
"naturopathy-clinic.bizaxl.online","naturopathy-clinic"
"meat-fish-retail.bizaxl.online","meat-fish-retail"
"gifts-novelty.bizaxl.online","gifts-novelty"
"edu-col.bizaxl.online","edu-col"
"homeopathy-hospital.bizaxl.online","homeopathy-hospital"
"unani-clinic.bizaxl.online","unani-clinic"
"ayurvedic-hospital.bizaxl.online","ayurvedic-hospital"
"dancetmpl.bizaxl.online","dancetmpl"
"medtex.bizaxl.online","medtex"
"ayurvedic.bizaxl.online","ayurvedic"
